ID,Name,City,Gender,Height,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,Constitution
1,Marks,Shenzhen,boy,166,77,100,84,71,91,6,7,6,8,NULL,60
2,Wayne,Shenzhen,girl,159,77,78,89,59,93,10,6,5,9,NULL,80
3,Bonnie,Guangzhou,girl,157,80,81,81,54,91,9,6,7,8,NULL,80
4,Grace,Guangzhou,boy,168,79.58653846,62,81,61,89,9,7,8,5,NULL,60
5,Hayden,Shanghai,boy,168,85,82,91,60,92,9,10,9,8,NULL,100
6,Chelsea,Guangzhou,girl,163,79,74,82,74,89,10,10,8,9,NULL,60
7,Dylan,Shenzhen,girl,154,83,76,85,75,93,7,7,10,9,NULL,60
8,Yolanda,Shanghai,boy,174,82,69,80,67,90,9,7,10,8,NULL,60
10,Benson,Guangzhou,girl,161,77,91,84,65,91,5,9,7,5,NULL,60
11,Franklin,Guangzhou,boy,161,83,79,75,78,92,7,6,7,7,NULL,80
12,Phyllis,Shenzhen,girl,161,80,79,91,59,93,10,9,8,9,NULL,60
13,Donald,Beijing,boy,163,82,73,83,70,89,10,6,10,4,NULL,60
14,Joy,Guangzhou,girl,16100,80,91,85,65,89,10,6,8,5,NULL,80
15,Josephine,Shanghai,boy,175,77,70,86,86,89,10,9,8,7,NULL,100
16,Rebecca,Guangzhou,girl,160,81,79,85,59,86,10,10,8,8,NULL,60
17,Dolores,Shanghai,boy,168,82,86,86,75,87,9,5,10,9,NULL,60
18,Sierra,Shanghai,boy,161,77,93,79,79,89,5,8,10,10,NULL,80
19,Stanley,Guangzhou,girl,163,83,83,89,70,89,8,6,6,6,NULL,40
20,Hank,Beijing,boy,177,75,60,87,66,88,9,6,10,5,NULL,60
21,Adelaide,Beijing,girl,147,83,82,87,71,89,5,10,10,7,NULL,80
22,Megan,Shenzhen,girl,160,76,79.31428571,87,68,86,7,10,10,6,NULL,60
23,Duke,Shanghai,boy,167,75,66,86,71,90,6,6,10,8,NULL,40
24,Teresa,Shenzhen,boy,163,79,59,83,69,93,8.047619048,10,9,6,NULL,60
25,Victoria,Shenzhen,girl,153,81,84,91,63,91,9,8,9,8,NULL,60
26,Donna,Shenzhen,boy,166,74,84,85,69,91,5,6,10,5,NULL,80
27,Angelina,Beijing,boy,164,79,54,86,70,89,5,8,10,9,NULL,80
28,Jeffery,Shanghai,boy,171,81,81,88,65,89,6,8,6,4,NULL,80
29,June,Shenzhen,boy,166,81,67,87,75,92,7,8,8,7,NULL,60
30,Mary,Shenzhen,girl,154,90,91,90,77,91,10,7,7,6,NULL,60
31,Editha,Guangzhou,girl,160,86,88,83,72,92,8,10,7,5,NULL,80
32,Howard,Shenzhen,girl,161,80,79,79,69.25714286,90,9,10,10,5,NULL,80
33,Pamela,Shanghai,boy,167,84,74,84,66,93,10,5,7,6,NULL,60
34,Selina,Shanghai,girl,161,81,91,81,68,91,9,9,9,9,NULL,80
35,Alicia,Shenzhen,boy,163,77,65,79,73,91,10,8,6,5,NULL,60
36,Mickey,Guangzhou,girl,152,83,83,86,55,91,7,9,10,7,NULL,60
37,Christian,Guangzhou,girl,169,74,75,86,60,91,7,8,6,10,NULL,100
38,Leopold,Beijing,boy,170,85,82,90,62,91,9,8,8,6,NULL,80
39,Claudia,Shanghai,girl,165,77,79,84,85,89,9,7,10,7,NULL,60
40,Manda,Beijing,girl,163,78,81,91,58,88,8,10,7,8,NULL,60
41,Tiffany,Beijing,girl,155,83,83,91,77,89,10,8,10,6,NULL,60
42,Angelia,Shanghai,boy,174,82,89,86,55,89,7,7,6,8,NULL,100
43,Nikita,Shanghai,girl,161,80,80,82,71,91,6,8,5,7,NULL,100
44,Wanda,Shenzhen,girl,159,81,64,82,67,92,9,7,9,8,NULL,80
45,Cosmo,Beijing,girl,162,85,73,90,73,91,8,7,8,10,NULL,60
46,Isaac,Shanghai,girl,155,83,76,87,80,85,8,6,7,4,NULL,80
47,Constance,Shanghai,boy,167,77,76,89,63,90,10,6,6,6,NULL,100
48,Leslie?,Beijing,girl,157,81,78,85,79,91,10,6,10,8,NULL,60
49,Lucy,Beijing,boy,168,80,94,82,63,90,6,6,10,7,NULL,40
50,Zelda,Shanghai,girl,160,84,76,83,66,90,10,7,10,6,NULL,80
51,Ethan,Beijing,boy,165,78,86,88,65,93,5,10,8,6,NULL,60
